Stationscode;Datum;"Feinstaub (PM₁₀) Tagesmittel (stündlich gleitend) in µg/m³";"Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³";"Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³";"Feinstaub (PM₂,₅) Tagesmittel (stündlich gleitend) in µg/m³";Luftqualitätsindex
DENI062;"'17.01.2024 10:00'";12;46;15;-;"sehr gut"
DENI062;"'17.01.2024 11:00'";13;45;15;-;"sehr gut"
DENI062;"'17.01.2024 12:00'";13;46;16;-;"sehr gut"
DENI062;"'17.01.2024 13:00'";13;50;16;-;"sehr gut"
DENI062;"'17.01.2024 14:00'";14;49;17;-;"sehr gut"
DENI062;"'17.01.2024 15:00'";14;45;21;-;gut
DENI062;"'17.01.2024 16:00'";14;42;23;-;gut
DENI062;"'17.01.2024 17:00'";15;32;35;-;gut
DENI062;"'17.01.2024 18:00'";15;26;38;-;gut
DENI062;"'17.01.2024 19:00'";15;15;45;-;mäßig
DENI062;"'17.01.2024 20:00'";16;5;51;-;mäßig
DENI062;"'17.01.2024 21:00'";16;4;52;-;mäßig
DENI062;"'17.01.2024 22:00'";17;12;42;-;mäßig
DENI062;"'17.01.2024 23:00'";17;-;31;-;gut
DENI062;"'17.01.2024 24:00'";17;23;-;-;"sehr gut"
DENI062;"'18.01.2024 01:00'";17;16;28;-;gut
DENI062;"'18.01.2024 02:00'";17;15;25;-;gut
DENI062;"'18.01.2024 03:00'";18;17;23;-;gut
DENI062;"'18.01.2024 04:00'";18;19;24;-;gut
DENI062;"'18.01.2024 05:00'";18;8;27;-;gut
DENI062;"'18.01.2024 06:00'";19;5;31;-;gut
DENI062;"'18.01.2024 07:00'";19;3;39;-;gut
DENI062;"'18.01.2024 08:00'";20;3;44;-;mäßig
DENI062;"'18.01.2024 09:00'";21;4;40;-;gut
DENI062;"'18.01.2024 10:00'";21;8;37;-;gut
DENI062;"'18.01.2024 11:00'";22;21;32;-;gut
DENI062;"'18.01.2024 12:00'";22;38;25;-;gut
DENI062;"'18.01.2024 13:00'";22;55;15;-;gut
DENI062;"'18.01.2024 14:00'";21;55;16;-;gut
DENI062;"'18.01.2024 15:00'";21;57;21;-;gut
DENI062;"'18.01.2024 16:00'";21;47;32;-;gut
DENI062;"'18.01.2024 17:00'";20;34;46;-;mäßig
DENI062;"'18.01.2024 18:00'";20;18;65;-;mäßig
DENI062;"'18.01.2024 19:00'";20;30;45;-;mäßig
DENI062;"'18.01.2024 20:00'";19;39;32;-;gut
DENI062;"'18.01.2024 21:00'";18;53;18;-;"sehr gut"
DENI062;"'18.01.2024 22:00'";17;52;18;-;"sehr gut"
DENI062;"'18.01.2024 23:00'";17;52;17;-;"sehr gut"
DENI062;"'18.01.2024 24:00'";16;-;13;-;"sehr gut"
DENI062;"'19.01.2024 01:00'";16;53;-;-;"sehr gut"
DENI062;"'19.01.2024 02:00'";15;54;9;-;"sehr gut"
DENI062;"'19.01.2024 03:00'";14;56;9;-;"sehr gut"
DENI062;"'19.01.2024 04:00'";13;55;9;-;"sehr gut"
DENI062;"'19.01.2024 05:00'";13;54;9;-;"sehr gut"
DENI062;"'19.01.2024 06:00'";12;53;11;-;"sehr gut"
DENI062;"'19.01.2024 07:00'";11;55;12;-;"sehr gut"
DENI062;"'19.01.2024 08:00'";10;59;11;-;"sehr gut"
DENI062;"'19.01.2024 09:00'";9;60;12;-;"sehr gut"
DENI062;"'19.01.2024 10:00'";8;59;12;-;"sehr gut"
DENI062;"'19.01.2024 11:00'";8;60;12;-;"sehr gut"
DENI062;"'19.01.2024 12:00'";7;63;11;-;gut
DENI062;"'19.01.2024 13:00'";7;64;10;-;gut
DENI062;"'19.01.2024 14:00'";7;61;14;-;gut
DENI062;"'19.01.2024 15:00'";7;58;15;-;"sehr gut"
DENI062;"'19.01.2024 16:00'";8;58;15;-;"sehr gut"
DENI062;"'19.01.2024 17:00'";8;63;13;-;gut
DENI062;"'19.01.2024 18:00'";8;61;14;-;gut
DENI062;"'19.01.2024 19:00'";8;56;16;-;"sehr gut"
DENI062;"'19.01.2024 20:00'";8;55;15;-;"sehr gut"
DENI062;"'19.01.2024 21:00'";8;49;17;-;"sehr gut"
DENI062;"'19.01.2024 22:00'";9;45;18;-;"sehr gut"
DENI062;"'19.01.2024 23:00'";9;47;16;-;"sehr gut"
DENI062;"'19.01.2024 24:00'";10;49;14;-;"sehr gut"
DENI062;"'20.01.2024 01:00'";10;-;14;-;"sehr gut"
DENI062;"'20.01.2024 02:00'";11;46;-;-;"sehr gut"
DENI062;"'20.01.2024 03:00'";12;46;15;-;"sehr gut"
DENI062;"'20.01.2024 04:00'";13;47;14;-;"sehr gut"
DENI062;"'20.01.2024 05:00'";14;45;14;-;"sehr gut"
DENI062;"'20.01.2024 06:00'";15;43;16;-;"sehr gut"
DENI062;"'20.01.2024 07:00'";16;42;16;-;"sehr gut"
DENI062;"'20.01.2024 08:00'";17;46;14;-;"sehr gut"
DENI062;"'20.01.2024 09:00'";18;48;12;-;"sehr gut"
DENI062;"'20.01.2024 10:00'";19;50;11;-;"sehr gut"
DENI062;"'20.01.2024 11:00'";20;53;10;-;"sehr gut"
DENI062;"'20.01.2024 12:00'";20;55;10;-;"sehr gut"
DENI062;"'20.01.2024 13:00'";20;59;10;-;"sehr gut"
DENI062;"'20.01.2024 14:00'";21;58;11;-;gut
DENI062;"'20.01.2024 15:00'";21;57;13;-;gut
DENI062;"'20.01.2024 16:00'";21;56;14;-;gut
DENI062;"'20.01.2024 17:00'";22;55;15;-;gut
DENI062;"'20.01.2024 18:00'";22;51;16;-;gut
DENI062;"'20.01.2024 19:00'";23;48;16;-;gut
DENI062;"'20.01.2024 20:00'";23;47;18;-;gut
DENI062;"'20.01.2024 21:00'";23;49;17;-;gut
DENI062;"'20.01.2024 22:00'";22;51;16;-;gut
DENI062;"'20.01.2024 23:00'";22;54;14;-;gut
DENI062;"'20.01.2024 24:00'";21;53;14;-;gut
DENI062;"'21.01.2024 01:00'";21;53;14;-;gut
DENI062;"'21.01.2024 02:00'";20;-;11;-;"sehr gut"
DENI062;"'21.01.2024 03:00'";19;51;-;-;"sehr gut"
DENI062;"'21.01.2024 04:00'";19;54;9;-;"sehr gut"
DENI062;"'21.01.2024 05:00'";18;59;7;-;"sehr gut"
DENI062;"'21.01.2024 06:00'";16;64;6;-;gut
DENI062;"'21.01.2024 07:00'";15;66;5;-;gut
DENI062;"'21.01.2024 08:00'";14;70;4;-;gut
DENI062;"'21.01.2024 09:00'";13;70;4;-;gut
DENI062;"'21.01.2024 10:00'";12;68;5;-;gut
DENI062;"'21.01.2024 11:00'";11;68;6;-;gut
DENI062;"'21.01.2024 12:00'";10;67;7;-;gut
DENI062;"'21.01.2024 13:00'";10;67;8;-;gut
DENI062;"'21.01.2024 14:00'";10;65;9;-;gut
DENI062;"'21.01.2024 15:00'";9;63;10;-;gut
DENI062;"'21.01.2024 16:00'";9;63;10;-;gut
DENI062;"'21.01.2024 17:00'";9;62;11;-;gut
DENI062;"'21.01.2024 18:00'";8;60;12;-;"sehr gut"
DENI062;"'21.01.2024 19:00'";8;60;12;-;"sehr gut"
DENI062;"'21.01.2024 20:00'";8;57;12;-;"sehr gut"
DENI062;"'21.01.2024 21:00'";8;55;13;-;"sehr gut"
DENI062;"'21.01.2024 22:00'";8;56;12;-;"sehr gut"
DENI062;"'21.01.2024 23:00'";8;55;11;-;"sehr gut"
DENI062;"'21.01.2024 24:00'";9;53;11;-;"sehr gut"
DENI062;"'22.01.2024 01:00'";9;58;9;-;"sehr gut"
DENI062;"'22.01.2024 02:00'";10;58;8;-;"sehr gut"
DENI062;"'22.01.2024 03:00'";10;-;8;-;"sehr gut"
DENI062;"'22.01.2024 04:00'";10;61;-;-;gut
DENI062;"'22.01.2024 05:00'";10;60;9;-;"sehr gut"
DENI062;"'22.01.2024 06:00'";10;60;11;-;"sehr gut"
DENI062;"'22.01.2024 07:00'";10;61;12;-;gut
DENI062;"'22.01.2024 08:00'";10;64;8;-;gut
DENI062;"'22.01.2024 09:00'";10;62;8;-;gut
DENI062;"'22.01.2024 10:00'";10;59;10;-;"sehr gut"
DENI062;"'22.01.2024 11:00'";10;64;7;-;gut
DENI062;"'22.01.2024 12:00'";10;65;8;-;gut
DENI062;"'22.01.2024 13:00'";10;62;9;-;gut
DENI062;"'22.01.2024 14:00'";10;61;12;-;gut
DENI062;"'22.01.2024 15:00'";10;55;17;-;"sehr gut"
DENI062;"'22.01.2024 16:00'";10;62;13;-;gut
DENI062;"'22.01.2024 17:00'";10;67;12;-;gut
DENI062;"'22.01.2024 18:00'";10;72;10;-;gut
DENI062;"'22.01.2024 19:00'";10;69;11;-;gut
DENI062;"'22.01.2024 20:00'";9;75;7;-;gut
DENI062;"'22.01.2024 21:00'";9;68;8;-;gut
DENI062;"'22.01.2024 22:00'";9;68;8;-;gut
DENI062;"'22.01.2024 23:00'";9;68;7;-;gut
DENI062;"'22.01.2024 24:00'";9;69;6;-;gut
DENI062;"'23.01.2024 01:00'";9;71;5;-;gut
DENI062;"'23.01.2024 02:00'";9;68;6;-;gut
DENI062;"'23.01.2024 03:00'";9;72;5;-;gut
DENI062;"'23.01.2024 04:00'";9;-;4;-;"sehr gut"
DENI062;"'23.01.2024 05:00'";9;75;-;-;gut
DENI062;"'23.01.2024 06:00'";9;72;6;-;gut
DENI062;"'23.01.2024 07:00'";10;71;7;-;gut
DENI062;"'23.01.2024 08:00'";10;69;8;-;gut
DENI062;"'23.01.2024 09:00'";11;68;8;-;gut
DENI062;"'23.01.2024 10:00'";12;66;9;-;gut
DENI062;"'23.01.2024 11:00'";12;65;9;-;gut
DENI062;"'23.01.2024 12:00'";13;67;8;-;gut
DENI062;"'23.01.2024 13:00'";14;69;7;-;gut
DENI062;"'23.01.2024 14:00'";14;67;8;-;gut
DENI062;"'23.01.2024 15:00'";15;65;10;-;gut
DENI062;"'23.01.2024 16:00'";15;65;10;-;gut
DENI062;"'23.01.2024 17:00'";15;62;13;-;gut
DENI062;"'23.01.2024 18:00'";16;60;13;-;"sehr gut"
DENI062;"'23.01.2024 19:00'";16;60;12;-;"sehr gut"
DENI062;"'23.01.2024 20:00'";16;58;12;-;"sehr gut"
DENI062;"'23.01.2024 21:00'";16;59;12;-;"sehr gut"
DENI062;"'23.01.2024 22:00'";16;63;9;-;gut
DENI062;"'23.01.2024 23:00'";16;66;6;-;gut
DENI062;"'23.01.2024 24:00'";16;64;4;-;gut
DENI062;"'24.01.2024 01:00'";16;62;4;-;gut
DENI062;"'24.01.2024 02:00'";15;58;4;-;"sehr gut"
DENI062;"'24.01.2024 03:00'";15;55;5;-;"sehr gut"
DENI062;"'24.01.2024 04:00'";14;53;5;-;"sehr gut"
DENI062;"'24.01.2024 05:00'";14;-;4;-;"sehr gut"
DENI062;"'24.01.2024 06:00'";14;60;5;-;"sehr gut"
DENI062;"'24.01.2024 07:00'";13;69;5;-;gut
DENI062;"'24.01.2024 08:00'";13;72;6;-;gut
DENI062;"'24.01.2024 09:00'";13;73;6;-;gut
DENI062;"'24.01.2024 10:00'";13;74;6;-;gut
DENI062;"'24.01.2024 11:00'";13;76;6;-;gut
DENI062;"'24.01.2024 12:00'";13;77;6;-;gut
DENI062;"'24.01.2024 13:00'";12;76;6;-;gut
DENI062;"'24.01.2024 14:00'";12;76;7;-;gut
DENI062;"'24.01.2024 15:00'";12;76;7;-;gut
DENI062;"'24.01.2024 16:00'";12;77;7;-;gut
DENI062;"'24.01.2024 17:00'";12;79;6;-;gut
DENI062;"'24.01.2024 18:00'";12;79;5;-;gut
DENI062;"'24.01.2024 19:00'";12;79;5;-;gut
DENI062;"'24.01.2024 20:00'";12;81;4;-;gut
DENI062;"'24.01.2024 21:00'";12;81;4;-;gut
DENI062;"'24.01.2024 22:00'";12;80;3;-;gut
DENI062;"'24.01.2024 23:00'";13;80;-;-;gut
DENI062;"'24.01.2024 24:00'";13;80;3;-;gut
DENI062;"'25.01.2024 01:00'";14;79;3;-;gut
DENI062;"'25.01.2024 02:00'";15;79;3;-;gut
DENI062;"'25.01.2024 03:00'";16;78;3;-;gut
DENI062;"'25.01.2024 04:00'";16;79;3;-;gut
DENI062;"'25.01.2024 05:00'";17;79;3;-;gut
DENI062;"'25.01.2024 06:00'";18;79;3;-;gut
DENI062;"'25.01.2024 07:00'";18;77;4;-;gut
DENI062;"'25.01.2024 08:00'";18;77;5;-;gut
DENI062;"'25.01.2024 09:00'";18;76;5;-;gut
DENI062;"'25.01.2024 10:00'";18;76;5;-;gut
DENI062;"'25.01.2024 11:00'";18;75;5;-;gut
DENI062;"'25.01.2024 12:00'";18;72;6;-;gut
DENI062;"'25.01.2024 13:00'";19;69;8;-;gut
DENI062;"'25.01.2024 14:00'";19;68;9;-;gut
DENI062;"'25.01.2024 15:00'";19;66;11;-;gut
DENI062;"'25.01.2024 16:00'";19;66;13;-;gut
DENI062;"'25.01.2024 17:00'";18;65;13;-;gut
DENI062;"'25.01.2024 18:00'";18;58;16;-;"sehr gut"
DENI062;"'25.01.2024 19:00'";18;50;21;-;gut
DENI062;"'25.01.2024 20:00'";19;48;19;-;"sehr gut"
DENI062;"'25.01.2024 21:00'";19;48;17;-;"sehr gut"
DENI062;"'25.01.2024 22:00'";19;38;21;-;gut
DENI062;"'25.01.2024 23:00'";19;-;22;-;gut
DENI062;"'25.01.2024 24:00'";19;38;-;-;"sehr gut"
DENI062;"'26.01.2024 01:00'";20;35;12;-;"sehr gut"
DENI062;"'26.01.2024 02:00'";20;37;13;-;"sehr gut"
DENI062;"'26.01.2024 03:00'";21;39;12;-;gut
DENI062;"'26.01.2024 04:00'";21;36;17;-;gut
DENI062;"'26.01.2024 05:00'";21;42;12;-;gut
DENI062;"'26.01.2024 06:00'";21;40;12;-;gut
DENI062;"'26.01.2024 07:00'";21;36;14;-;gut
DENI062;"'26.01.2024 08:00'";22;34;15;-;gut
DENI062;"'26.01.2024 09:00'";22;33;13;-;gut
DENI062;"'26.01.2024 10:00'";22;34;12;-;gut
DENI062;"'26.01.2024 11:00'";21;39;11;-;gut
DENI062;"'26.01.2024 12:00'";21;40;13;-;gut
DENI062;"'26.01.2024 13:00'";20;46;12;-;"sehr gut"
DENI062;"'26.01.2024 14:00'";19;64;9;-;gut
DENI062;"'26.01.2024 15:00'";19;76;6;-;gut
DENI062;"'26.01.2024 16:00'";18;77;6;-;gut
DENI062;"'26.01.2024 17:00'";18;83;4;-;gut
DENI062;"'26.01.2024 18:00'";17;79;5;-;gut
DENI062;"'26.01.2024 19:00'";17;77;4;-;gut
DENI062;"'26.01.2024 20:00'";16;77;4;-;gut
DENI062;"'26.01.2024 21:00'";16;77;4;-;gut
DENI062;"'26.01.2024 22:00'";15;76;3;-;gut
DENI062;"'26.01.2024 23:00'";15;75;4;-;gut
DENI062;"'26.01.2024 24:00'";14;-;3;-;"sehr gut"
DENI062;"'27.01.2024 01:00'";14;73;-;-;gut
DENI062;"'27.01.2024 02:00'";13;70;3;-;gut
DENI062;"'27.01.2024 03:00'";13;67;4;-;gut
DENI062;"'27.01.2024 04:00'";13;68;3;-;gut
DENI062;"'27.01.2024 05:00'";12;65;3;-;gut
DENI062;"'27.01.2024 06:00'";12;64;4;-;gut
DENI062;"'27.01.2024 07:00'";12;61;6;-;gut
DENI062;"'27.01.2024 08:00'";12;57;7;-;"sehr gut"
DENI062;"'27.01.2024 09:00'";12;52;9;-;"sehr gut"
DENI062;"'27.01.2024 10:00'";12;51;9;-;"sehr gut"
DENI062;"'27.01.2024 11:00'";12;51;9;-;"sehr gut"
DENI062;"'27.01.2024 12:00'";12;52;8;-;"sehr gut"
DENI062;"'27.01.2024 13:00'";13;56;8;-;"sehr gut"
DENI062;"'27.01.2024 14:00'";13;58;8;-;"sehr gut"
DENI062;"'27.01.2024 15:00'";14;58;9;-;"sehr gut"
DENI062;"'27.01.2024 16:00'";14;57;10;-;"sehr gut"
DENI062;"'27.01.2024 17:00'";14;53;13;-;"sehr gut"
DENI062;"'27.01.2024 18:00'";15;44;20;-;"sehr gut"
DENI062;"'27.01.2024 19:00'";15;43;18;-;"sehr gut"
DENI062;"'27.01.2024 20:00'";16;40;20;-;"sehr gut"
DENI062;"'27.01.2024 21:00'";16;41;17;-;"sehr gut"
DENI062;"'27.01.2024 22:00'";16;38;17;-;"sehr gut"
DENI062;"'27.01.2024 23:00'";16;40;13;-;"sehr gut"
DENI062;"'27.01.2024 24:00'";16;37;14;-;"sehr gut"
DENI062;"'28.01.2024 01:00'";16;-;15;-;"sehr gut"
DENI062;"'28.01.2024 02:00'";16;27;-;-;"sehr gut"
DENI062;"'28.01.2024 03:00'";16;27;13;-;"sehr gut"
DENI062;"'28.01.2024 04:00'";16;23;11;-;"sehr gut"
DENI062;"'28.01.2024 05:00'";16;23;14;-;"sehr gut"
DENI062;"'28.01.2024 06:00'";16;25;14;-;"sehr gut"
DENI062;"'28.01.2024 07:00'";16;21;17;-;"sehr gut"
DENI062;"'28.01.2024 08:00'";16;23;17;-;"sehr gut"
DENI062;"'28.01.2024 09:00'";16;31;13;-;"sehr gut"
DENI062;"'28.01.2024 10:00'";16;36;13;-;"sehr gut"
DENI062;"'28.01.2024 11:00'";16;42;12;-;"sehr gut"
DENI062;"'28.01.2024 12:00'";15;51;8;-;"sehr gut"
DENI062;"'28.01.2024 13:00'";15;54;7;-;"sehr gut"
DENI062;"'28.01.2024 14:00'";15;57;7;-;"sehr gut"
DENI062;"'28.01.2024 15:00'";15;54;8;-;"sehr gut"
DENI062;"'28.01.2024 16:00'";14;54;7;-;"sehr gut"
DENI062;"'28.01.2024 17:00'";14;49;10;-;"sehr gut"
DENI062;"'28.01.2024 18:00'";14;45;11;-;"sehr gut"
DENI062;"'28.01.2024 19:00'";13;42;12;-;"sehr gut"
DENI062;"'28.01.2024 20:00'";13;40;12;-;"sehr gut"
DENI062;"'28.01.2024 21:00'";13;37;14;-;"sehr gut"
DENI062;"'28.01.2024 22:00'";13;37;14;-;"sehr gut"
DENI062;"'28.01.2024 23:00'";12;38;13;-;"sehr gut"
DENI062;"'28.01.2024 24:00'";12;41;12;-;"sehr gut"
DENI062;"'29.01.2024 01:00'";12;41;11;-;"sehr gut"
DENI062;"'29.01.2024 02:00'";12;-;10;-;"sehr gut"
DENI062;"'29.01.2024 03:00'";11;43;-;-;"sehr gut"
DENI062;"'29.01.2024 04:00'";11;44;10;-;"sehr gut"
DENI062;"'29.01.2024 05:00'";10;42;12;-;"sehr gut"
DENI062;"'29.01.2024 06:00'";9;33;20;-;"sehr gut"
DENI062;"'29.01.2024 07:00'";9;19;37;-;gut
DENI062;"'29.01.2024 08:00'";9;10;50;-;mäßig
DENI062;"'29.01.2024 09:00'";8;19;41;-;mäßig
DENI062;"'29.01.2024 10:00'";8;38;24;-;gut
DENI062;"'29.01.2024 11:00'";8;43;17;-;"sehr gut"
DENI062;"'29.01.2024 12:00'";8;44;15;-;"sehr gut"
DENI062;"'29.01.2024 13:00'";8;42;19;-;"sehr gut"
DENI062;"'29.01.2024 14:00'";8;41;20;-;"sehr gut"
DENI062;"'29.01.2024 15:00'";8;43;19;-;"sehr gut"
DENI062;"'29.01.2024 16:00'";8;36;26;-;gut
DENI062;"'29.01.2024 17:00'";8;16;45;-;mäßig
DENI062;"'29.01.2024 18:00'";8;5;60;-;mäßig
DENI062;"'29.01.2024 19:00'";8;8;49;-;mäßig
DENI062;"'29.01.2024 20:00'";8;9;44;-;mäßig
DENI062;"'29.01.2024 21:00'";8;19;31;-;gut
DENI062;"'29.01.2024 22:00'";8;14;33;-;gut
DENI062;"'29.01.2024 23:00'";9;16;29;-;gut
DENI062;"'29.01.2024 24:00'";9;17;26;-;gut
DENI062;"'30.01.2024 01:00'";9;20;22;-;gut
DENI062;"'30.01.2024 02:00'";10;21;21;-;gut
DENI062;"'30.01.2024 03:00'";10;-;20;-;"sehr gut"
DENI062;"'30.01.2024 04:00'";11;21;-;-;"sehr gut"
DENI062;"'30.01.2024 05:00'";11;20;19;-;"sehr gut"
DENI062;"'30.01.2024 06:00'";12;16;24;-;gut
DENI062;"'30.01.2024 07:00'";13;9;33;-;gut
DENI062;"'30.01.2024 08:00'";14;6;38;-;gut
DENI062;"'30.01.2024 09:00'";14;13;29;-;gut
DENI062;"'30.01.2024 10:00'";15;21;23;-;gut
DENI062;"'30.01.2024 11:00'";15;23;21;-;gut
DENI062;"'30.01.2024 12:00'";16;27;19;-;"sehr gut"
DENI062;"'30.01.2024 13:00'";16;26;21;-;gut
DENI062;"'30.01.2024 14:00'";17;28;24;-;gut
DENI062;"'30.01.2024 15:00'";17;31;23;-;gut
DENI062;"'30.01.2024 16:00'";17;24;29;-;gut
DENI062;"'30.01.2024 17:00'";17;27;29;-;gut
DENI062;"'30.01.2024 18:00'";17;32;23;-;gut
DENI062;"'30.01.2024 19:00'";18;37;20;-;"sehr gut"
DENI062;"'30.01.2024 20:00'";18;46;15;-;"sehr gut"
DENI062;"'30.01.2024 21:00'";17;54;11;-;"sehr gut"
DENI062;"'30.01.2024 22:00'";17;59;7;-;"sehr gut"
DENI062;"'30.01.2024 23:00'";17;52;7;-;"sehr gut"
DENI062;"'30.01.2024 24:00'";16;50;6;-;"sehr gut"
DENI062;"'31.01.2024 01:00'";16;55;4;-;"sehr gut"
DENI062;"'31.01.2024 02:00'";15;61;4;-;gut
DENI062;"'31.01.2024 03:00'";14;72;3;-;gut
DENI062;"'31.01.2024 04:00'";13;-;3;-;"sehr gut"
DENI062;"'31.01.2024 05:00'";13;80;-;-;gut
DENI062;"'31.01.2024 06:00'";12;79;6;-;gut
DENI062;"'31.01.2024 07:00'";11;77;9;-;gut
DENI062;"'31.01.2024 08:00'";11;69;15;-;gut
DENI062;"'31.01.2024 09:00'";10;67;15;-;gut
DENI062;"'31.01.2024 10:00'";10;68;12;-;gut
DENI062;"'31.01.2024 11:00'";9;70;10;-;gut
DENI062;"'31.01.2024 12:00'";9;72;9;-;gut
DENI062;"'31.01.2024 13:00'";8;73;9;-;gut
DENI062;"'31.01.2024 14:00'";8;75;8;-;gut
DENI062;"'31.01.2024 15:00'";8;73;9;-;gut
DENI062;"'31.01.2024 16:00'";7;71;10;-;gut
DENI062;"'31.01.2024 17:00'";7;70;12;-;gut
DENI062;"'31.01.2024 18:00'";6;70;10;-;gut
DENI062;"'31.01.2024 19:00'";6;70;8;-;gut
DENI062;"'31.01.2024 20:00'";5;62;9;-;gut
DENI062;"'31.01.2024 21:00'";6;51;14;-;"sehr gut"
DENI062;"'31.01.2024 22:00'";6;53;12;-;"sehr gut"
DENI062;"'31.01.2024 23:00'";7;58;10;-;"sehr gut"
DENI062;"'31.01.2024 24:00'";7;67;7;-;gut
DENI062;"'01.02.2024 01:00'";8;69;6;-;gut
DENI062;"'01.02.2024 02:00'";8;66;6;-;gut
DENI062;"'01.02.2024 03:00'";9;63;6;-;gut
DENI062;"'01.02.2024 04:00'";9;61;6;-;gut
DENI062;"'01.02.2024 05:00'";9;-;6;-;"sehr gut"
DENI062;"'01.02.2024 06:00'";9;56;10;-;"sehr gut"
DENI062;"'01.02.2024 07:00'";10;54;15;-;"sehr gut"
DENI062;"'01.02.2024 08:00'";10;53;17;-;"sehr gut"
DENI062;"'01.02.2024 09:00'";10;58;16;-;"sehr gut"
DENI062;"'01.02.2024 10:00'";11;64;11;-;gut
DENI062;"'01.02.2024 11:00'";11;68;8;-;gut
DENI062;"'01.02.2024 12:00'";12;70;7;-;gut
DENI062;"'01.02.2024 13:00'";12;69;6;-;gut
DENI062;"'01.02.2024 14:00'";12;67;8;-;gut
DENI062;"'01.02.2024 15:00'";13;68;7;-;gut
DENI062;"'01.02.2024 16:00'";13;68;7;-;gut
DENI062;"'01.02.2024 17:00'";13;66;9;-;gut
DENI062;"'01.02.2024 18:00'";14;65;9;-;gut
DENI062;"'01.02.2024 19:00'";14;63;10;-;gut
DENI062;"'01.02.2024 20:00'";14;62;9;-;gut
DENI062;"'01.02.2024 21:00'";14;60;9;-;"sehr gut"
DENI062;"'01.02.2024 22:00'";14;60;7;-;"sehr gut"
DENI062;"'01.02.2024 23:00'";14;59;-;-;"sehr gut"
DENI062;"'01.02.2024 24:00'";14;60;5;-;"sehr gut"
DENI062;"'02.02.2024 01:00'";15;59;5;-;"sehr gut"
DENI062;"'02.02.2024 02:00'";15;58;6;-;"sehr gut"
DENI062;"'02.02.2024 03:00'";16;59;5;-;"sehr gut"
DENI062;"'02.02.2024 04:00'";16;60;4;-;"sehr gut"
DENI062;"'02.02.2024 05:00'";16;58;6;-;"sehr gut"
DENI062;"'02.02.2024 06:00'";17;52;10;-;"sehr gut"
DENI062;"'02.02.2024 07:00'";17;48;11;-;"sehr gut"
DENI062;"'02.02.2024 08:00'";17;46;12;-;"sehr gut"
DENI062;"'02.02.2024 09:00'";17;44;13;-;"sehr gut"
DENI062;"'02.02.2024 10:00'";17;43;14;-;"sehr gut"
DENI062;"'02.02.2024 11:00'";17;44;14;-;"sehr gut"
DENI062;"'02.02.2024 12:00'";18;43;15;-;"sehr gut"
DENI062;"'02.02.2024 13:00'";18;44;16;-;"sehr gut"
DENI062;"'02.02.2024 14:00'";19;44;16;-;"sehr gut"
DENI062;"'02.02.2024 15:00'";19;45;15;-;"sehr gut"
DENI062;"'02.02.2024 16:00'";20;45;17;-;"sehr gut"
DENI062;"'02.02.2024 17:00'";20;47;16;-;"sehr gut"
DENI062;"'02.02.2024 18:00'";20;46;15;-;"sehr gut"
DENI062;"'02.02.2024 19:00'";20;48;13;-;"sehr gut"
DENI062;"'02.02.2024 20:00'";19;50;10;-;"sehr gut"
DENI062;"'02.02.2024 21:00'";19;50;8;-;"sehr gut"
DENI062;"'02.02.2024 22:00'";18;52;8;-;"sehr gut"
DENI062;"'02.02.2024 23:00'";18;-;7;-;"sehr gut"
DENI062;"'02.02.2024 24:00'";17;57;-;-;"sehr gut"
DENI062;"'03.02.2024 01:00'";17;57;6;-;"sehr gut"
DENI062;"'03.02.2024 02:00'";16;57;5;-;"sehr gut"
DENI062;"'03.02.2024 03:00'";16;54;6;-;"sehr gut"
DENI062;"'03.02.2024 04:00'";15;53;6;-;"sehr gut"
DENI062;"'03.02.2024 05:00'";15;52;6;-;"sehr gut"
DENI062;"'03.02.2024 06:00'";14;53;6;-;"sehr gut"
DENI062;"'03.02.2024 07:00'";14;54;5;-;"sehr gut"
DENI062;"'03.02.2024 08:00'";13;56;5;-;"sehr gut"
DENI062;"'03.02.2024 09:00'";13;58;5;-;"sehr gut"
DENI062;"'03.02.2024 10:00'";12;59;6;-;"sehr gut"
DENI062;"'03.02.2024 11:00'";12;57;7;-;"sehr gut"
DENI062;"'03.02.2024 12:00'";11;55;7;-;"sehr gut"
DENI062;"'03.02.2024 13:00'";10;54;7;-;"sehr gut"
DENI062;"'03.02.2024 14:00'";9;54;8;-;"sehr gut"
DENI062;"'03.02.2024 15:00'";8;56;8;-;"sehr gut"
DENI062;"'03.02.2024 16:00'";8;59;7;-;"sehr gut"
DENI062;"'03.02.2024 17:00'";7;63;6;-;gut
DENI062;"'03.02.2024 18:00'";7;67;8;-;gut
DENI062;"'03.02.2024 19:00'";7;63;9;-;gut
DENI062;"'03.02.2024 20:00'";7;69;7;-;gut
DENI062;"'03.02.2024 21:00'";7;71;6;-;gut
DENI062;"'03.02.2024 22:00'";7;71;6;-;gut
DENI062;"'03.02.2024 23:00'";7;73;5;-;gut
DENI062;"'03.02.2024 24:00'";7;-;5;-;"sehr gut"
DENI062;"'04.02.2024 01:00'";7;69;-;-;gut
DENI062;"'04.02.2024 02:00'";7;66;4;-;gut
DENI062;"'04.02.2024 03:00'";7;68;4;-;gut
DENI062;"'04.02.2024 04:00'";7;66;5;-;gut
